,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
AA,Alcoa Corporation,Basic Materials | Aluminum | USA,,9240000000.0,963000000.0,13390000000.0,31.13,9.33,0.4,0.76,12200.0,Yes,Yes,2.1,10.38,7.39,,0.69,1.69,5.64,8.28,1.0,1.8,0.3,0.3,1.61,5.07,7.12,0.76,347.0,-1.4,-,24.8,5.5,28.6,81.5,Jul 20 Ae6C,8.66,0.2,0.0,86.2,-1.11,6.3,20.5,5.0,27.9,12.7,7.2,5.7,-14.43,182000000.0,173820000.0,4.5,1.31,58.22,39.56 - 98.09,-46.36,33.0,54.72,1.22,5970000.0,7252553.0,9.44,-0.62,-5.29,-36.56,10.76,-11.68,2.32,2.7,4.59 4.56,48.86,52.62,7.7
SQ,"Block, Inc.",Technology | Software - Infrastructure | USA,,45450000000.0,-489000000.0,16290000000.0,28.99,8.11,,,8521.0,Yes,Yes,2.1,,46.99,,2.79,2.56,9.16,88.81,1.8,1.8,0.27,0.24,0.02,-0.9,1.58,0.25,-25.0,72.79,,21.6,59.5,-5.9,-191.6,Aug 04 Ae6C,1.52,0.3,-24.72,68.7,-1.03,-2.2,-4.8,2.0,31.2,-2.9,-3.0,,-31.89,581350000.0,523110000.0,5.5,1.9,118.19,56.01 - 270.16,-72.5,32.64,51.94,0.81,15110000.0,12302610.0,8.06,-16.38,-2.99,-31.76,-70.47,-54.0,2.44,4.48,5.45 5.24,70.59,74.29,5.24
SRE,Sempra,Utilities | Utilities - Diversified | USA,S&P 500,55010000000.0,1130000000.0,14220000000.0,82.43,6.1,4.58,2.64,15390.0,Yes,Yes,2.1,48.84,19.24,7.15,3.87,2.11,28.49,31.85,0.7,0.8,1.0,0.95,3.26,3.56,9.03,1.8,-38.8,4.38,,-6.0,4.7,29.4,28.8,Aug 04 e9e6O,8.32,0.04,-20.38,89.6,-1.29,1.5,4.5,2.3,,9.1,7.9,124.4,15.33,314850000.0,314100000.0,0.81,1.8,175.18,119.56 - 173.83,-0.04,45.33,67.14,1.12,1420000.0,1592612.0,3.42,6.29,11.99,11.9,29.86,31.36,0.67,2.99,2.00 1.60,172.94,173.76,0.47
SSNC,"SS&C Technologies Holdings, Inc.",Technology | Software - Application | USA,,14720000000.0,718000000.0,5180000000.0,23.76,1.71,0.8,1.4,24900.0,Yes,Yes,2.0,21.28,10.72,2.7,2.84,2.41,33.57,13.84,1.1,1.1,1.2,1.19,-2.45,2.69,5.35,1.19,27.6,10.7,,36.3,27.8,5.5,-40.9,Jul 27 Ae6C,-3.64,12.61,-0.61,87.0,0.85,4.1,11.8,7.9,48.2,22.9,13.9,27.0,-17.6,254900000.0,222880000.0,1.41,2.08,76.4,54.57 - 84.85,-32.47,5.0,44.75,1.45,1510000.0,2192342.0,2.49,-8.16,-7.98,-23.36,-21.79,-30.1,1.46,1.17,2.38 1.86,56.7,57.3,1.06
SST,"System1, Inc.",Industrials | Specialty Business Services | USA,,982500000.0,-85200000.0,809900000.0,7.1,0.42,,,375.0,Yes,Yes,2.0,,,,1.21,1.54,26.27,,0.7,0.7,0.65,0.63,2.86,-0.93,-0.68,-0.21,93.5,9.0,-,,,29.6,-323.7,Aug 11 Ae6C,21.42,11.2,-27.57,31.9,-4.96,,,35.1,26.1,,,,-3.14,90590000.0,45200000.0,2.64,3.68,13.5,6.57 - 37.10,-70.54,66.36,58.25,1.28,324950.0,414612.0,-4.96,26.21,24.2,-36.38,10.32,9.74,,0.85,7.94 10.43,10.98,10.93,-0.46
SSYS,Stratasys Ltd.,Technology | Computer Hardware | USA,,1140000000.0,-68200000.0,656100000.0,13.88,6.61,,,2039.0,Yes,Yes,2.8,,47.13,,1.73,1.23,2.59,,3.2,3.9,0.0,0.0,-4.78,-1.04,0.36,0.03,87.9,135.71,,7.9,-2.0,13.3,-17.9,Aug 03 e9e6O,-8.12,15.35,0.0,70.6,-3.32,-5.5,-7.2,-6.4,42.4,-10.2,-10.4,,-20.64,66570000.0,56350000.0,2.67,1.99,24.14,15.86 - 42.83,-60.05,7.88,41.01,0.3,758160.0,228475.0,2.39,-11.39,-7.36,-28.05,-28.2,-30.13,1.33,0.72,3.50 3.02,16.6,17.11,3.07
STLD,"Steel Dynamics, Inc.",Basic Materials | Steel | USA,,15680000000.0,4390000000.0,22180000000.0,40.7,7.5,1.36,1.57,10640.0,Yes,Yes,2.5,3.85,8.63,0.14,0.71,2.13,11.54,7.09,1.9,3.5,0.4,0.4,5.03,22.49,10.02,4.96,499.7,-52.76,,58.4,18.8,39.1,93.8,Jul 20 Ae6C,14.6,5.6,-0.46,85.6,-3.8,34.6,66.4,35.5,31.7,26.4,19.8,5.3,19.19,186440000.0,172320000.0,2.6,2.43,86.03,50.54 - 100.37,-13.8,71.19,62.59,0.9,1840000.0,1661073.0,11.87,4.23,12.67,19.52,31.19,39.39,1.39,3.19,3.47 3.29,82.99,86.52,4.25
STNE,StoneCo Ltd.,Technology | Software - Application | Cayman Islands,,2740000000.0,-543100000.0,1720000000.0,7.68,4.13,,,15485.0,Yes,Yes,2.7,,3.39,,1.59,1.23,2.29,4.75,3.7,3.7,0.54,0.27,-5.33,-1.75,2.79,0.34,-251.3,95.99,,-59.8,69.4,275.6,-192.8,Aug 18 Ae6C,-1.17,12.74,0.0,68.3,2.12,-7.0,-21.2,11.3,72.6,43.6,-31.6,,-18.73,312160000.0,209080000.0,10.26,2.75,12.69,6.81 - 44.89,-78.95,38.73,48.28,0.67,7810000.0,5239897.0,2.83,-20.85,-6.62,-0.63,-78.48,-43.95,2.34,0.74,5.86 6.98,8.74,9.45,8.12
STX,Seagate Technology Holdings plc,Technology | Computer Hardware | Ireland,S&P 500,14470000000.0,1650000000.0,11660000000.0,1.93,5.41,2.8,4.07,40000.0,Yes,Yes,,9.39,8.99,0.93,1.24,35.66,12.71,17.77,1.0,1.5,13.41,13.33,-7.63,7.33,7.66,0.99,41.6,40.98,,45.5,-0.9,2.6,12.3,Jul 21 Ae6C,-9.48,0.3,0.0,87.7,2.45,20.5,337.4,25.3,29.7,17.7,15.8,33.4,-23.58,218000000.0,207800000.0,5.86,6.04,78.25,63.50 - 117.67,-41.51,8.39,39.92,1.14,2010000.0,2286499.0,4.41,-14.33,-16.92,-22.42,-21.19,-39.08,1.13,2.72,3.50 3.24,66.13,68.83,4.08
SUMO,"Sumo Logic, Inc.",Technology | Software - Infrastructure | USA,,1060000000.0,-135000000.0,271000000.0,3.33,2.69,,,943.0,Yes,Yes,2.4,,,,3.91,2.7,3.34,,2.2,2.2,0.0,0.0,4.72,-1.19,-0.53,-0.15,31.0,8.3,-,,,26.0,-3.6,Aug 25 Ae6C,12.51,4.0,-8.06,72.6,2.98,-22.6,-32.9,-29.4,65.7,-49.2,-49.8,,-12.02,116610000.0,113700000.0,4.36,5.26,11.86,6.57 - 20.47,-56.13,36.62,59.98,0.97,942110.0,909484.0,9.25,-0.77,10.73,-16.15,-55.37,-33.78,,0.48,5.09 5.22,8.71,8.98,3.1
SURF,"Surface Oncology, Inc.",Healthcare | Biotechnology | USA,,78860000.0,-63000000.0,30500000.0,2.3,2.72,,,67.0,Yes,Yes,1.5,,,,2.59,0.6,0.5,,8.2,8.2,0.2,0.18,-13.07,-1.29,-1.81,-0.47,-214.0,-49.2,-,-21.8,-16.5,1745.0,-6.0,Aug 03 e9e6O,-20.95,0.7,-7.18,53.4,-8.54,-31.8,-48.2,-52.8,,,,,-52.7,54660000.0,53760000.0,2.77,2.04,11.1,1.23 - 8.38,-83.65,11.38,35.05,0.37,728460.0,269078.0,5.38,-24.31,-32.18,-52.43,-77.87,-71.34,1.64,0.09,5.35 6.17,1.35,1.37,1.48
SWCH,"Switch, Inc.",Technology | Information Technology Services | USA,,8340000000.0,379000000.0,652300000.0,4.95,0.13,0.21,0.62,829.0,Yes,Yes,2.8,22.3,60.93,0.86,12.79,6.87,267.35,,0.3,0.3,2.48,2.47,0.13,1.52,0.56,0.11,-71.4,-66.32,,-47.8,13.2,18.7,9.9,Aug 08 Ae6C,0.5,3.3,-2.88,84.7,0.68,12.8,88.1,2.7,40.7,8.5,58.1,8.3,12.48,150040000.0,135160000.0,5.66,3.57,33.23,23.00 - 34.05,-0.15,47.83,57.31,0.31,2140000.0,654572.0,0.06,0.29,1.01,25.55,30.32,18.72,0.63,0.1,0.28 0.27,34.04,34.0,-0.12
SWI,SolarWinds Corporation,Technology | Software - Infrastructure | USA,,1410000000.0,-647700000.0,720900000.0,10.07,4.86,,,2215.0,Yes,Yes,3.0,,9.22,,1.95,0.87,1.81,9.57,2.2,2.2,1.17,1.15,-6.78,-4.03,0.95,0.2,-156.1,13.32,,28.5,8.9,-0.5,,Aug 02 e9e6O,-12.73,2.1,0.0,98.41,1.99,-14.3,-31.0,0.0,76.5,-83.1,-91.5,,-27.86,160660000.0,39950000.0,5.99,4.11,13.86,8.11 - 20.55,-57.22,8.38,38.18,0.49,582290.0,286460.0,0.8,-13.57,-27.71,-22.14,-48.84,-38.05,0.93,0.34,3.42 2.98,8.3,8.79,5.9
SWKS,"Skyworks Solutions, Inc.",Technology | Semiconductors | USA,S&P 500,16670000000.0,1300000000.0,5390000000.0,32.91,4.06,2.48,2.42,11000.0,Yes,Yes,2.5,13.04,8.83,1.35,3.09,3.12,25.28,27.34,1.5,2.4,0.41,0.32,-1.9,7.87,11.62,2.91,87.0,4.49,,11.6,9.2,10.4,-18.2,Aug 04 Ae6C,-1.1,0.2,-4.66,78.4,0.9,15.1,24.6,20.1,47.3,27.2,24.1,28.3,-17.02,160900000.0,159860000.0,1.57,1.32,141.33,88.76 - 182.24,-43.68,15.64,48.49,0.71,1910000.0,1351331.0,3.06,-7.54,-0.8,-21.93,-42.15,-33.84,1.22,3.39,2.96 2.92,99.88,102.64,2.76
SYNA,Synaptics Incorporated,Technology | Semiconductors | USA,,4850000000.0,257500000.0,1740000000.0,31.98,22.08,,,1775.0,Yes,Yes,2.2,19.31,9.19,1.29,2.79,3.82,5.54,11.23,2.7,3.0,0.78,0.77,-4.63,6.33,13.3,3.35,204.4,5.5,,35.8,0.2,45.3,336.3,Aug 04 Ae6C,-5.75,1.3,-4.71,98.36,1.24,10.4,22.9,12.4,54.2,19.7,14.8,0.0,-33.78,39600000.0,39270000.0,10.55,9.17,190.5,108.51 - 299.39,-59.17,12.64,45.92,1.15,452050.0,519435.0,8.19,-12.59,-12.7,-41.88,-33.52,-57.78,1.51,6.65,5.00 4.45,119.01,122.23,2.71
TAP,Molson Coors Beverage Company,Consumer Defensive | Beverages - Brewers | USA,S&P 500,11260000000.0,731800000.0,10580000000.0,61.63,2.05,1.52,2.91,16300.0,Yes,Yes,2.9,15.52,12.4,9.03,1.06,0.85,25.47,23.46,0.6,0.8,0.51,0.49,-4.06,3.36,4.21,1.38,205.6,7.79,,-9.2,16.0,-0.6,-87.8,Aug 02 e9e6O,-6.36,0.4,0.02,89.6,0.55,2.7,5.5,5.9,35.9,9.8,6.9,42.7,0.24,217000000.0,176810000.0,4.63,5.41,56.0,42.46 - 60.12,-13.22,22.87,38.57,0.6,1510000.0,902381.0,1.56,-6.37,-0.46,3.64,13.29,12.56,0.87,1.22,1.98 1.98,51.82,52.17,0.68
TARO,Taro Pharmaceutical Industries Ltd.,Healthcare | Drug Manufacturers - Specialty & Generic | Israel,,1280000000.0,91100000.0,570900000.0,45.6,21.35,,,1455.0,Yes,Yes,2.0,14.01,,,2.25,0.74,1.59,,3.0,3.6,0.0,0.0,0.86,2.42,,0.84,115.3,,,-32.5,-8.6,6.5,175.4,Jul 27 Ae6C,-4.7,36.6,0.0,12.4,-2.64,4.2,5.4,2.6,52.0,16.9,16.0,0.0,-19.12,37590000.0,8080000.0,0.75,2.76,54.0,31.31 - 70.07,-51.55,8.43,49.23,0.55,21980.0,12086.0,3.98,-1.48,-6.53,-28.45,-50.92,-32.25,0.73,1.39,3.98 3.83,32.27,33.95,5.21
TASK,"TaskUs, Inc.",Technology | Information Technology Services | USA,,1860000000.0,50100000.0,913900000.0,4.44,1.07,,,40100.0,Yes,Yes,1.6,38.83,13.64,2.88,2.04,4.28,17.81,,1.7,1.7,0.61,0.41,24.92,0.49,1.39,0.29,-274.4,7.32,,,,36.9,106.5,Aug 08 Ae6C,6.46,1.6,0.0,93.7,-0.69,6.4,12.8,-8.4,42.6,8.4,5.5,0.0,-35.86,97780000.0,27760000.0,4.75,2.54,26.71,13.60 - 85.49,-77.79,39.63,63.6,1.68,519250.0,870165.0,30.7,9.9,-9.1,-43.57,-71.14,-64.81,,1.23,7.65 6.16,17.94,18.99,5.85
TBLA,Taboola.com Ltd.,Communication Services | Internet Content & Information | USA,,628840000.0,16700000.0,1440000000.0,3.22,1.26,,,1800.0,Yes,Yes,2.0,35.56,7.78,,0.44,0.8,2.04,24.09,1.7,1.7,0.36,0.35,-3.54,0.07,0.33,-0.02,-185.2,-2.37,-,,,4.1,92.2,Aug 09 Ae6C,-5.84,18.83,0.0,50.7,-2.52,1.1,2.2,-3.4,33.2,0.1,1.2,0.0,-46.6,250780000.0,195750000.0,0.41,1.53,6.5,2.37 - 10.27,-75.07,8.02,45.69,0.93,524000.0,489182.0,3.23,-17.42,-13.51,-52.33,-71.74,-67.1,,0.15,5.65 5.22,2.48,2.56,3.23
TCOM,Trip.com Group Limited,Consumer Cyclical | Travel Services | China,,16250000000.0,-480600000.0,2900000000.0,24.34,11.67,,,33732.0,Yes,Yes,3.0,,3.18,,5.6,1.05,2.19,,1.2,1.2,0.47,0.19,-3.07,-0.76,8.04,0.18,83.9,302.25,,22.1,0.8,0.0,-154.0,Jun 27 Ae6C,-2.52,4.0,0.0,55.1,-3.37,-1.7,-3.0,-1.1,76.9,-4.9,-16.6,,3.91,647810000.0,637460000.0,2.3,3.06,33.36,14.29 - 33.27,-23.2,78.8,46.47,0.44,4810000.0,2135542.0,-0.51,0.75,10.89,20.41,-19.68,3.78,0.61,1.09,2.86 4.17,25.1,25.55,1.79
TCS,"The Container Store Group, Inc.",Consumer Cyclical | Specialty Retail | USA,,344720000.0,74500000.0,1110000000.0,8.72,0.44,,,2300.0,Yes,Yes,3.0,4.45,5.52,0.29,0.31,0.76,14.86,26.52,0.3,1.2,0.43,0.4,-8.04,1.48,1.2,0.23,38.6,5.75,,39.2,5.9,7.1,-40.5,Aug 02 Ae6C,-6.63,2.3,-7.04,83.4,-0.53,6.3,17.9,16.0,57.6,10.5,6.7,0.0,-21.96,49720000.0,32110000.0,3.38,2.72,9.0,6.19 - 14.25,-53.68,6.62,40.37,0.63,398290.0,249473.0,-2.37,-9.22,-11.41,-21.52,-41.12,-33.87,1.35,0.3,3.99 3.84,6.5,6.6,1.54
TDC,Teradata Corporation,Technology | Information Technology Services | USA,,3410000000.0,82000000.0,1860000000.0,2.14,5.22,,,7200.0,Yes,Yes,2.4,44.23,16.86,49.53,1.83,15.23,6.25,9.41,1.0,1.0,2.77,2.45,-4.05,0.74,1.93,0.29,12.6,20.21,,6.5,-3.8,-12.4,-109.9,Aug 04 Ae6C,-9.89,1.2,-1.17,,-2.59,4.1,23.8,18.6,60.6,8.7,4.4,0.0,-21.08,103500000.0,101730000.0,7.41,9.7,47.62,31.66 - 59.38,-45.1,2.99,39.43,0.84,776890.0,651342.0,0.15,-8.63,-15.04,-27.92,-42.18,-23.24,1.05,0.95,2.38 2.27,31.8,32.6,2.52
TDOC,"Teladoc Health, Inc.",Healthcare | Health Information Services | USA,,5520000000.0,-9871300000.0,2230000000.0,37.7,5.36,,,5100.0,Yes,Yes,2.7,,,,2.47,0.89,6.25,26.3,3.2,3.4,0.26,0.25,-0.88,-61.39,-1.49,-0.56,49.0,96.3,-,-9.3,75.2,17.7,,Jul 27 Ae6C,-9.25,0.5,-1.72,86.5,3.1,-72.3,-83.5,-2.0,68.1,,,,-42.23,161380000.0,159730000.0,19.83,5.98,36.54,27.38 - 156.82,-78.66,22.21,48.76,0.71,5300000.0,3737935.0,8.64,-11.46,0.54,-44.46,-76.51,-63.56,0.86,2.08,5.74 5.78,32.41,33.46,3.24
TDY,Teledyne Technologies Incorporated,Technology | Scientific & Technical Instruments | USA,S&P 500,18380000000.0,679800000.0,5360000000.0,167.99,5.88,,,14500.0,Yes,Yes,2.1,27.23,20.12,1.17,3.43,2.31,65.92,50.55,1.1,1.7,0.5,0.46,0.46,14.24,19.27,4.29,-5.2,9.34,,13.3,16.5,20.9,142.0,Jul 27 e9e6O,0.18,0.5,0.0,95.5,1.7,4.8,8.8,4.3,41.1,15.5,12.7,0.0,-6.74,46800000.0,46280000.0,2.42,4.54,487.86,344.66 - 493.97,-21.52,12.47,52.86,0.63,246420.0,154459.0,4.21,-1.93,-1.54,-8.8,-12.09,-11.27,1.07,7.91,2.20 1.82,380.07,387.65,1.99
TEAM,Atlassian Corporation Plc,Technology | Software - Application | Australia,,38300000000.0,-614100000.0,2800000000.0,1.32,9.86,,,8813.0,Yes,Yes,1.9,,110.75,,13.66,196.16,26.26,46.73,1.2,1.2,3.92,3.8,-0.33,-2.43,2.34,0.39,13.1,42.82,,38.15,34.9,35.8,51.1,Aug 04 Ae6C,11.73,0.56,0.0,90.8,3.67,-19.4,-334.2,-9.5,83.4,-3.8,-21.9,,-3.16,254480000.0,35400000.0,10.35,2.02,328.57,159.54 - 483.13,-46.41,62.3,56.74,1.19,1820000.0,2164268.0,9.98,-9.53,32.07,1.46,-31.65,-32.09,0.94,12.76,4.69 3.99,240.32,258.93,7.74
TECH,Bio-Techne Corporation,Healthcare | Biotechnology | USA,S&P 500,13720000000.0,271900000.0,1110000000.0,43.41,6.25,1.28,0.37,3000.0,Yes,Yes,1.9,52.38,34.24,4.78,12.41,7.99,55.5,59.58,2.6,3.4,0.15,0.14,-0.65,6.62,10.13,1.84,91.2,17.48,,26.7,14.5,11.3,312.5,Aug 04 e9e6O,-3.37,0.7,-3.12,96.5,-1.06,11.9,16.1,13.2,68.4,26.8,24.6,13.8,-12.74,39200000.0,38910000.0,1.42,2.49,473.45,318.07 - 543.85,-36.24,9.03,48.43,0.86,221920.0,189924.0,4.19,-8.73,-2.44,-16.46,-31.76,-32.97,1.26,10.5,3.07 2.59,342.68,346.78,1.2
TENB,"Tenable Holdings, Inc.",Technology | Software - Infrastructure | USA,,4620000000.0,-79300000.0,611400000.0,2.14,4.61,,,1617.0,Yes,Yes,1.6,,106.87,,7.56,19.48,9.05,50.53,1.5,1.5,1.54,1.53,1.98,-0.72,0.39,0.03,-3.7,108.56,,-0.6,34.2,26.1,-125.3,Jul 26 Ae6C,-4.27,0.4,-46.38,91.5,3.91,-6.4,-36.1,-6.5,78.9,-10.6,-13.0,,-15.99,111040000.0,109890000.0,2.16,2.34,55.07,36.24 - 63.61,-34.48,15.01,52.41,0.96,1010000.0,978325.0,12.07,-5.79,-15.71,-21.89,-11.17,-24.31,1.32,1.81,4.17 3.87,39.36,41.68,5.89
TER,"Teradyne, Inc.",Technology | Semiconductor Equipment & Materials | USA,S&P 500,13880000000.0,840500000.0,3430000000.0,14.41,5.0,0.44,0.5,5900.0,Yes,Yes,2.4,18.71,17.71,3.39,4.05,6.17,17.76,18.26,2.5,2.8,0.03,0.03,-3.92,4.75,5.02,1.05,29.0,26.13,,94.4,16.1,-22.6,-34.3,Jul 26 Ae6C,-5.83,0.3,-8.04,,-0.02,22.9,34.0,38.4,60.0,28.8,24.5,8.1,-23.55,159560000.0,156190000.0,2.81,2.43,113.84,80.41 - 168.91,-47.4,10.48,45.19,1.0,1810000.0,1797742.0,7.32,-10.37,-12.2,-19.21,-25.45,-45.67,1.55,3.55,3.43 3.41,86.14,88.84,3.13
TEVA,Teva Pharmaceutical Industries Limited,Healthcare | Drug Manufacturers - Specialty & Generic | Israel,,10080000000.0,-1054000000.0,15430000000.0,8.14,1.87,,,34713.0,Yes,Yes,3.0,,3.59,,0.65,1.13,4.9,21.23,0.7,1.1,2.44,2.25,-6.81,-0.95,2.55,0.62,110.3,0.24,,39.7,-6.2,-3.2,-212.0,Jul 27 e9e6O,2.65,1.5,-1.45,45.5,-1.37,-2.2,-10.8,4.5,49.6,-6.2,-6.8,,6.51,1110000000.0,1090000000.0,2.06,1.55,10.51,6.78 - 11.34,-19.14,35.27,45.42,0.5,14450000.0,7192986.0,2.69,-18.12,8.52,18.78,-0.86,14.48,1.26,0.36,3.03 3.84,9.0,9.17,1.89
TLS,Telos Corporation,Technology | Information Technology Services | USA,,736840000.0,-36900000.0,240100000.0,2.57,1.81,,,849.0,Yes,Yes,1.7,,41.76,,3.07,4.24,6.01,46.34,3.3,3.4,0.08,0.07,11.17,-0.55,0.26,0.02,66.7,89.13,-,-32.0,12.4,6.1,35.6,Aug 09 e9e6O,24.7,11.2,1.68,62.1,-2.86,-15.1,-21.1,-21.3,37.9,-15.1,-15.4,,3.9,67880000.0,42240000.0,3.96,3.07,10.75,6.54 - 34.40,-68.31,66.67,74.09,0.76,543470.0,415591.0,12.49,19.0,19.52,10.66,-68.04,-29.31,,0.48,5.07 4.70,10.33,10.9,5.52
TMUS,"T-Mobile US, Inc.",Communication Services | Telecom Services | USA,S&P 500,185210000000.0,1720000000.0,80230000000.0,55.85,2.48,,,75000.0,Yes,Yes,1.8,106.43,22.71,1.8,2.31,2.61,58.78,108.63,0.7,0.8,1.11,1.05,0.51,1.37,6.42,0.75,1.4,188.96,,7.4,16.4,-1.2,-111.0,Jul 27 e9e6O,3.32,52.1,-0.02,42.8,1.07,0.8,2.5,4.4,58.1,6.4,2.1,0.0,14.27,1250000000.0,600120000.0,2.42,3.48,171.52,101.51 - 148.04,-1.58,43.53,56.07,1.34,4170000.0,5576072.0,1.24,0.59,9.53,17.94,10.85,25.63,0.48,3.06,2.57 2.01,145.37,145.7,0.23
TOST,"Toast, Inc.",Technology | Software - Infrastructure | USA,,11160000000.0,-329400000.0,2210000000.0,2.26,2.27,,,3172.0,Yes,Yes,2.3,,,,5.05,9.49,9.47,,3.1,3.3,0.0,0.0,12.8,-0.65,-0.24,-0.09,-237.4,12.8,-,,,58.9,60.9,Aug 11 Ae6C,28.84,2.5,-57.81,73.5,21.8,-19.2,-30.0,-25.2,16.3,-16.8,-14.9,,-0.02,509530000.0,281030000.0,4.27,2.0,24.54,11.91 - 69.93,-69.34,80.02,69.23,1.07,6010000.0,6404663.0,15.7,16.14,34.5,9.33,,-38.23,,1.23,5.53 6.25,20.38,21.44,5.2
TRGP,Targa Resources Corp.,Energy | Oil & Gas Midstream | USA,,15820000000.0,210800000.0,20920000000.0,9.09,0.7,1.4,1.95,2430.0,Yes,Yes,1.6,92.37,12.84,16.2,0.76,7.91,102.71,10.56,0.6,0.7,3.61,3.41,3.76,0.78,5.6,1.1,99.0,38.72,,47.7,20.4,77.3,981.6,Aug 04 e9e6O,9.91,0.8,-10.96,89.5,-1.32,1.4,10.6,9.7,16.6,6.7,1.0,97.1,10.76,227800000.0,223040000.0,1.86,2.36,93.0,43.22 - 81.50,-11.83,66.27,59.53,0.74,1750000.0,1300672.0,6.24,6.4,-4.29,3.13,63.47,37.56,2.41,2.36,3.14 2.87,70.14,71.86,2.45
TRMB,Trimble Inc.,Technology | Scientific & Technical Instruments | USA,S&P 500,15790000000.0,517600000.0,3760000000.0,15.63,1.4,,,11931.0,Yes,Yes,2.1,30.82,20.3,3.08,4.2,4.04,45.11,33.58,0.8,1.0,0.33,0.26,-5.59,2.05,3.11,0.66,25.4,12.82,,30.0,9.1,-0.4,22.6,Aug 05 e9e6O,-2.41,0.3,-4.25,96.3,0.43,7.3,13.2,9.1,55.9,17.9,13.8,0.0,-9.95,249200000.0,246720000.0,1.6,3.87,81.14,55.35 - 94.83,-33.48,13.97,43.54,0.77,1020000.0,781989.0,0.45,-9.89,-3.01,-5.3,-32.64,-27.65,1.58,1.94,3.10 2.41,61.39,63.08,2.75
TSCO,Tractor Supply Company,Consumer Cyclical | Specialty Retail | USA,S&P 500,22370000000.0,1030000000.0,13260000000.0,17.15,4.77,3.68,1.83,22000.0,Yes,Yes,2.1,22.19,19.24,2.12,1.69,11.72,42.14,,0.3,1.4,0.54,0.53,2.44,9.06,10.44,2.07,35.0,8.85,,21.4,13.4,8.4,10.7,Jul 21 e9e6O,2.56,0.1,-9.99,86.5,-0.04,13.3,53.3,33.8,35.0,10.2,7.8,31.5,-4.68,111590000.0,110330000.0,4.16,4.14,236.27,166.49 - 241.54,-16.82,20.68,58.51,0.99,1110000.0,1100107.0,6.79,4.48,-0.36,-12.24,-0.38,-15.79,0.9,4.96,2.94 2.39,199.79,200.92,0.57
TSEM,Tower Semiconductor Ltd.,Technology | Semiconductors | Israel,,5040000000.0,175700000.0,1580000000.0,15.47,7.8,,,5887.0,Yes,Yes,,28.78,17.79,1.92,3.19,2.97,5.89,28.49,3.1,3.8,0.17,0.12,-1.38,1.59,2.58,0.61,80.1,10.4,,-7.5,3.8,17.7,90.8,Aug 02 e9e6O,-1.36,19.6,0.0,61.3,-3.31,9.0,12.4,8.6,23.0,,12.8,0.0,3.74,109140000.0,101500000.0,1.3,2.58,51.33,28.42 - 49.13,-6.57,61.51,42.89,0.84,511750.0,430320.0,0.37,-2.88,-3.57,-2.94,57.84,15.68,1.04,0.51,1.17 1.03,45.96,45.9,-0.13
TSLA,"Tesla, Inc.",Consumer Cyclical | Auto Manufacturers | USA,S&P 500,963190000000.0,9510000000.0,67170000000.0,11.69,5.89,,,99290.0,Yes,Yes,2.4,107.92,51.71,2.06,14.34,25.64,50.92,68.49,1.1,1.4,0.12,0.08,3.22,2.78,5.79,1.05,669.2,40.35,,48.6,50.4,41.6,91.4,Jul 20 Ae6C,9.71,0.1,-75.26,44.4,3.71,15.0,29.8,15.7,27.1,15.9,14.2,0.0,1.31,3110000000.0,2620000000.0,2.3,0.73,298.8,206.86 - 414.50,-27.7,44.87,59.5,0.66,82570000.0,54191096.0,8.13,1.81,25.02,7.25,19.1,-14.93,2.2,11.6,3.89 3.70,289.26,299.68,3.6
TSN,"Tyson Foods, Inc.",Consumer Defensive | Farm Products | USA,S&P 500,27250000000.0,4050000000.0,52360000000.0,53.91,2.93,1.84,2.43,137000.0,Yes,Yes,2.5,6.78,9.83,0.9,0.52,1.4,25.8,36.28,0.8,2.0,0.43,0.43,-3.7,11.15,7.69,1.77,48.0,-13.18,,13.0,5.0,8.2,-19.0,Aug 08 e9e6O,-7.78,0.1,-6.7,87.4,-0.13,11.2,21.8,12.6,15.1,10.6,7.7,16.3,-13.57,359000000.0,282950000.0,1.71,2.58,92.33,72.18 - 100.72,-24.97,4.7,36.98,1.1,1880000.0,2059495.0,1.0,-4.78,-11.42,-15.99,-0.01,-13.3,0.69,1.73,2.58 1.83,73.94,75.57,2.2
