,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
AA,Alcoa Corporation,Basic Materials | Aluminum | USA,-,8650000000.0,963000000.0,13390000000.0,31.13,9.33,0.4,0.81,12200.0,Yes,Yes,2.1,9.72,6.92,-,0.65,1.58,5.28,7.75,1.0,1.8,0.3,0.3,-5.61,5.07,7.12,0.76,347.0,-1.4,-,24.8,5.5,28.6,81.5,Jul 20 Ae6C,1.66,0.2,0.0,86.2,-1.11,6.3,20.5,5.0,27.9,12.7,7.2,5.7,-19.89,182000000.0,173820000.0,4.5,1.33,58.22,39.56 - 98.09,-49.79,24.48,45.41,0.67,5870000.0,3947643.0,-11.8,2.93,-20.35,-45.68,4.99,-17.34,2.32,2.67,5.04 4.58,48.08,49.25,2.43
PSA,Public Storage,Real Estate | REIT - Industrial | USA,S&P 500,59300000000.0,2070000000.0,3820000000.0,31.99,5.69,8.0,2.4,5800.0,Yes,Yes,2.0,28.36,27.64,1.67,15.5,10.41,58.48,57.62,-,-,1.31,1.31,-3.33,11.74,12.05,2.68,56.9,4.78,,7.7,5.9,24.4,73.5,Aug 04 Ae6C,3.39,8.3,-0.41,80.9,0.12,12.1,39.0,13.2,74.1,49.5,54.1,67.7,-0.97,175230000.0,151620000.0,1.48,3.25,381.45,280.92 - 405.31,-17.84,18.54,47.22,0.73,691800.0,502167.0,-3.35,0.73,4.77,-8.18,4.67,-7.49,0.34,7.07,2.36 1.96,337.78,332.99,-1.42
PSN,Parsons Corporation,Industrials | Specialty Industrial Machinery | USA,-,4250000000.0,87300000.0,3860000000.0,18.6,1.2,-,,15500.0,Yes,Yes,2.4,52.38,18.69,4.26,1.1,2.18,33.75,25.48,1.4,1.4,0.41,0.41,-4.15,0.77,2.17,0.5,-41.3,14.7,,44.0,3.8,14.7,170.4,Aug 03 e9e6O,-2.41,0.6,12.51,,1.37,2.2,4.6,4.4,23.0,4.0,2.3,0.0,9.45,103670000.0,102810000.0,3.23,8.03,44.12,29.25 - 43.84,-7.53,38.6,37.97,0.48,413350.0,197009.0,-3.5,-2.31,-0.02,12.77,14.94,20.48,0.84,0.95,2.13 2.17,41.06,40.54,-1.27
PSNL,"Personalis, Inc.",Healthcare | Biotechnology | USA,-,152420000.0,-93600000.0,76400000.0,5.8,4.9,-,,325.0,Yes,Yes,1.9,-,-,-,1.99,0.55,0.65,-,6.1,6.3,0.01,0.0,-23.59,-2.08,-2.57,-0.65,-23.8,-5.6,,,,-16.1,-77.5,Aug 03 Ae6C,-20.46,2.7,27.46,83.4,-6.09,-24.3,-31.6,-20.8,32.2,,,,-59.65,45640000.0,44920000.0,2.75,2.04,12.6,3.13 - 23.04,-86.11,2.24,35.59,0.49,604270.0,297653.0,-9.35,-28.89,-16.23,-64.09,-85.52,-77.58,-,0.34,7.24 9.48,3.32,3.2,-3.61
PSTG,"Pure Storage, Inc.",Technology | Computer Hardware | USA,-,8360000000.0,-14400000.0,2540000000.0,2.46,4.51,-,,4300.0,Yes,Yes,2.0,-,22.48,-,3.29,11.85,6.47,-,1.3,1.3,0.79,0.0,-2.72,-0.05,1.3,0.24,52.4,16.32,,15.1,24.2,50.3,87.0,Aug 31 Ae6C,4.03,3.8,-0.44,85.8,0.77,,,-7.3,67.8,,,,1.12,295840000.0,278050000.0,7.18,5.87,39.32,21.90 - 36.71,-20.56,33.18,49.36,2.11,3400000.0,7155486.0,-4.02,-1.22,5.46,-0.85,11.72,-10.41,1.35,1.04,5.02 2.98,28.23,29.16,3.29
PTC,PTC Inc.,Technology | Software - Application | USA,S&P 500,13500000000.0,499200000.0,1910000000.0,18.43,-,-,,6709.0,Yes,Yes,1.9,27.32,22.19,2.19,7.08,6.24,-,32.21,1.2,1.2,0.66,0.66,-3.49,4.21,5.18,1.17,258.4,15.64,,60.0,9.6,6.2,38.4,Jul 27 Ae6C,0.89,0.8,-52.53,92.1,1.15,11.1,24.3,13.4,79.5,21.9,26.2,0.0,2.41,117070000.0,105420000.0,1.98,2.97,144.33,96.55 - 136.00,-15.4,19.16,45.53,2.0,701130.0,1402161.0,0.4,-4.8,-2.96,6.54,-12.74,-5.04,1.17,3.04,2.44 2.14,114.93,115.05,0.1
PTNR,Partner Communications Company Ltd.,Communication Services | Telecom Services | Israel,-,1650000000.0,55300000.0,1010000000.0,3.15,1.15,-,,2588.0,No,Yes,-,29.3,-,14.65,1.64,2.78,7.63,18.29,1.0,1.1,1.1,0.91,4.75,0.3,-,-,569.1,,,13.7,-1.0,2.3,419.4,Aug 11 e9e6O,11.38,46.1,0.0,1.6,-1.31,3.5,10.0,4.2,21.7,7.7,5.5,0.0,14.53,184160000.0,170380000.0,0.0,0.25,-,3.92 - 9.27,-5.49,123.5,61.43,0.49,4680.0,2273.0,4.42,13.27,22.53,13.78,85.22,9.39,0.72,0.28,2.09 2.23,8.8,8.76,-0.44
PTON,"Peloton Interactive, Inc.",Consumer Cyclical | Leisure | USA,-,3480000000.0,-2816900000.0,3580000000.0,5.25,2.39,-,,7866.0,Yes,Yes,2.4,-,-,-,0.97,1.8,3.95,-,1.1,2.5,0.49,0.49,-19.69,-8.59,-1.07,-0.68,-98.5,68.8,-,,,-23.6,,Aug 25 e9e6O,-10.74,1.56,-0.43,87.9,-2.27,-24.2,-61.6,-6.9,19.5,-30.7,-31.7,,-58.8,333870000.0,303440000.0,12.19,2.53,18.6,8.22 - 118.61,-92.04,14.84,41.31,1.11,14630000.0,16222771.0,-11.03,-10.1,-24.66,-59.81,-90.65,-73.6,-,1.13,8.82 9.62,10.28,9.44,-8.17
PUBM,"PubMatic, Inc.",Technology | Software - Application | USA,-,984160000.0,54400000.0,251200000.0,5.44,3.51,-,,713.0,Yes,Yes,2.1,19.7,22.79,-,3.92,3.47,5.38,15.45,1.8,1.8,0.0,0.0,-9.15,0.96,0.83,0.13,166.4,16.78,-,,,26.8,-21.8,Aug 08 Ae6C,3.9,0.1,-79.83,60.4,17.22,10.6,21.1,19.6,72.2,22.5,21.6,0.0,-22.83,52160000.0,39810000.0,8.68,4.06,27.25,14.73 - 43.65,-56.77,28.11,44.78,0.58,852310.0,498023.0,-6.35,6.91,-5.13,-13.08,-35.07,-44.58,-,1.09,4.80 5.30,19.02,18.87,-0.79
PXD,Pioneer Natural Resources Company,Energy | Oil & Gas E&P | USA,S&P 500,59140000000.0,6180000000.0,23690000000.0,98.31,13.29,25.44,10.52,1932.0,Yes,Yes,2.1,10.0,8.32,0.46,2.5,2.46,18.19,10.46,1.2,1.3,0.24,0.19,3.98,24.17,29.04,8.31,810.3,-13.54,,35.5,38.5,64.1,505.5,Aug 02 Ae6C,9.56,0.4,-5.03,93.4,0.04,16.6,26.4,18.2,54.9,41.7,26.1,28.6,11.7,242000000.0,237290000.0,2.43,2.11,286.39,131.98 - 279.76,-13.58,83.18,57.55,0.85,2730000.0,2319922.0,-3.15,17.11,-10.8,5.86,75.58,42.25,1.47,8.29,3.20 3.18,240.33,241.76,0.6
PYCR,"Paycor HCM, Inc.",Technology | Software - Application | USA,-,4880000000.0,-119600000.0,429400000.0,7.35,0.76,-,,2067.0,Yes,Yes,2.2,-,74.95,-,11.35,3.81,36.66,217.67,1.1,1.1,0.0,0.0,-8.9,-0.7,0.37,0.03,-22.5,28.97,,,,26.1,28.9,Aug 23 Ae6C,-0.9,0.3,-2.19,,2.7,-4.0,-9.3,-11.2,60.8,-40.7,-27.9,,3.12,174900000.0,-,,15.69,36.77,20.14 - 37.42,-25.09,39.18,42.28,0.59,498240.0,292623.0,-3.44,-9.08,12.34,2.9,-19.55,-2.71,-,1.53,4.32 4.98,27.76,28.03,0.97
PYPL,"PayPal Holdings, Inc.",Financial | Credit Services | USA,S&P 500,107160000000.0,2060000000.0,26390000000.0,17.07,7.91,-,,30900.0,Yes,Yes,2.1,52.59,19.07,4.07,4.06,5.34,11.52,20.7,1.2,1.2,0.54,0.52,-5.33,1.73,4.78,0.95,-0.7,21.73,,25.0,18.5,9.1,-129.5,Aug 02 Ae6C,6.55,0.1,-5.53,74.1,-1.53,2.7,9.8,14.1,43.5,13.5,7.8,0.0,-22.64,1160000000.0,1150000000.0,1.9,1.52,123.24,67.58 - 296.70,-69.29,34.85,47.42,0.6,14400000.0,8638685.0,-1.69,-6.03,5.32,-8.79,-68.08,-51.68,1.44,3.73,3.62 3.06,92.66,91.13,-1.65
QCOM,QUALCOMM Incorporated,Technology | Semiconductors | USA,S&P 500,145900000000.0,12860000000.0,42140000000.0,14.3,6.03,3.0,2.33,45000.0,Yes,Yes,2.0,11.38,9.92,1.49,3.46,8.98,21.31,41.33,1.1,1.6,0.97,0.85,-10.72,11.29,12.95,3.15,74.0,3.2,,15.6,7.3,35.7,85.8,Jul 27 Ae6C,-9.1,0.12,-0.23,74.5,-1.11,29.3,101.5,33.2,58.0,35.7,30.5,24.4,-16.93,1120000000.0,1120000000.0,1.28,1.73,186.64,118.22 - 193.58,-33.63,8.67,32.79,0.74,8280000.0,6117957.0,-7.15,-14.92,-9.02,-20.82,-11.47,-29.74,1.25,4.94,3.13 3.09,129.92,128.48,-1.11
QLYS,"Qualys, Inc.",Technology | Software - Infrastructure | USA,-,5670000000.0,101600000.0,448000000.0,10.24,10.87,-,,1962.0,Yes,Yes,2.6,57.73,37.25,7.22,12.65,14.35,13.52,31.75,1.7,1.7,0.0,0.0,-1.83,2.55,3.95,0.87,-21.1,11.72,,28.7,15.7,20.3,27.0,Aug 08 Ae6C,7.69,1.0,-26.4,94.6,0.43,12.8,24.4,15.9,78.7,28.5,22.7,0.0,11.48,38740000.0,34690000.0,6.94,6.46,144.91,106.48 - 159.47,-7.83,38.04,51.71,0.68,372250.0,253205.0,-4.59,15.82,11.1,14.6,22.9,7.12,0.61,4.99,2.92 3.18,147.76,146.99,-0.52
QRVO,"Qorvo, Inc.",Technology | Semiconductors | USA,S&P 500,9300000000.0,816600000.0,4570000000.0,40.89,8.33,-,,8900.0,Yes,Yes,2.7,12.2,8.71,1.22,2.03,2.2,10.83,11.78,2.1,3.3,0.0,0.48,-11.45,7.39,10.35,2.54,46.5,26.57,,135.9,8.9,-6.8,-74.1,Aug 03 Ae6C,-10.73,0.5,-5.27,91.2,-2.31,10.9,17.9,16.3,46.3,22.6,17.9,0.0,-26.27,105170000.0,102690000.0,2.45,1.92,125.52,87.05 - 188.03,-52.06,3.55,33.54,0.93,1310000.0,1218628.0,-5.81,-17.01,-17.35,-30.46,-51.51,-42.36,1.38,3.87,3.50 3.55,90.08,90.14,0.07
QSI,Quantum-Si incorporated,Healthcare | Biotechnology | USA,-,444590000.0,-115100000.0,-,2.97,2.76,-,,153.0,Yes,Yes,1.0,-,-,-,-,1.03,1.11,-,35.4,35.4,0.0,0.0,-15.82,-0.83,-0.88,-0.17,82.5,17.6,-,,,,75.9,Aug 08 Ae6C,-4.74,3.4,0.6,41.0,5.07,-23.8,-25.2,,,,,,-32.22,139000000.0,85300000.0,5.42,4.56,7.0,2.22 - 10.14,-69.82,37.84,39.82,0.34,1010000.0,343246.0,-4.97,-15.0,-30.14,-23.5,-69.12,-61.12,-,0.27,7.68 8.79,3.19,3.06,-4.08
QTWO,"Q2 Holdings, Inc.",Technology | Software - Application | USA,-,2190000000.0,-105700000.0,533000000.0,7.7,7.08,-,,2024.0,Yes,Yes,2.0,-,64.15,-,4.11,5.04,5.48,-,3.1,3.1,1.51,1.49,-10.54,-1.86,0.6,0.04,24.4,95.16,,-16.9,27.1,13.5,17.6,Aug 03 Ae6C,-8.04,1.9,-7.53,,-0.0,-7.7,-20.7,-7.2,45.0,-16.1,-19.8,,-32.16,57230000.0,55110000.0,4.94,6.9,67.58,34.42 - 92.34,-57.97,12.75,38.79,0.97,394760.0,382501.0,-3.82,-15.92,-27.01,-35.53,-57.04,-51.15,1.54,1.93,4.07 3.81,38.19,38.81,1.62
RADA,RADA Electronic Industries Ltd.,Industrials | Aerospace & Defense | Israel,-,493670000.0,5800000.0,109300000.0,3.08,1.13,-,,308.0,Yes,Yes,1.5,91.27,14.83,-,4.52,3.26,8.86,-,2.9,5.0,0.0,0.0,-5.41,0.11,0.68,0.07,295.6,238.5,-,27.9,55.7,-18.4,-143.3,Aug 17 e9e6O,-1.06,49.1,0.0,68.3,6.83,2.9,3.8,16.2,38.1,7.8,5.3,0.0,-10.93,49590000.0,43960000.0,1.76,1.61,15.2,7.51 - 16.70,-39.88,33.69,40.9,0.15,480810.0,74239.0,-3.55,-4.2,-19.16,-24.85,-11.7,6.58,0.92,0.37,3.40 3.36,9.93,10.04,1.11
RAMP,"LiveRamp Holdings, Inc.",Technology | Information Technology Services | USA,-,1310000000.0,-78400000.0,551900000.0,14.7,7.48,-,,1400.0,Yes,Yes,2.1,-,25.1,-,2.37,1.31,2.57,23.29,5.1,5.1,0.0,0.0,-11.7,-1.15,0.77,0.11,63.6,66.16,,14.8,24.8,19.5,-259.5,Aug 04 Ae6C,-23.64,2.4,-9.15,98.1,1.2,-6.0,-7.4,-6.0,72.1,-13.3,-14.2,,-45.62,68400000.0,65080000.0,3.55,2.34,36.11,19.00 - 58.74,-67.26,1.21,24.72,0.43,987060.0,425957.0,-6.97,-31.37,-26.49,-53.13,-62.48,-59.9,1.13,0.94,3.34 4.11,19.46,19.23,-1.18
RBLX,Roblox Corporation,Communication Services | Electronic Gaming & Multimedia | USA,-,22980000000.0,-553900000.0,2210000000.0,0.92,-,-,,1600.0,Yes,Yes,2.3,-,-,-,10.42,41.24,-,75.9,1.6,1.6,1.81,1.81,-14.3,-0.94,-1.37,-0.29,-111.3,-11.9,-,,,30.2,-21.1,Aug 09 Ae6C,-8.46,0.8,-15.44,70.3,6.21,-12.7,-96.9,-31.5,74.6,-24.4,-25.1,,-32.75,593930000.0,469540000.0,6.92,1.24,46.37,21.65 - 141.60,-73.21,75.24,34.55,0.46,26160000.0,12114970.0,-4.1,-20.89,26.47,-10.29,-55.15,-63.22,-,2.69,5.72 6.47,38.51,37.94,-1.48
RDHL,RedHill Biopharma Ltd.,Healthcare | Drug Manufacturers - Specialty & Generic | Israel,-,46280000.0,-92000000.0,83400000.0,-0.1,0.54,-,,201.0,Yes,Yes,1.7,-,28.89,-,0.55,-,1.61,-,0.8,1.0,-,-,-11.6,-1.9,0.03,-0.03,-0.5,123.1,-,1.7,285.3,-11.7,38.7,Jun 23 e9e6O,-7.81,12.96,0.0,11.3,-13.43,-49.9,-822.3,-83.9,54.1,-91.4,,,-52.54,52520000.0,34990000.0,4.55,0.52,12.5,0.62 - 10.62,-91.84,39.77,42.09,0.19,3080000.0,573325.0,-15.04,-4.79,-19.01,-49.91,-91.34,-66.41,1.79,0.07,6.30 6.79,0.87,0.87,-0.38
RDWR,Radware Ltd.,Technology | Software - Infrastructure | Israel,-,944390000.0,6300000.0,298900000.0,7.58,6.46,-,,1075.0,Yes,Yes,-,164.62,22.45,9.46,3.16,2.87,3.36,15.66,1.9,2.0,0.0,0.0,-1.65,0.13,0.97,0.16,-18.5,28.21,,23.2,7.8,7.7,-28.5,Aug 08 e9e6O,-2.38,28.5,0.0,74.3,-2.48,1.0,1.7,0.9,81.9,5.3,2.1,0.0,-24.35,44910000.0,36700000.0,0.91,1.56,31.07,20.51 - 42.19,-48.49,5.95,47.87,1.73,214620.0,372054.0,5.54,-10.24,-13.15,-35.79,-38.94,-47.81,1.07,0.73,3.35 3.23,21.06,21.73,3.18
REE,REE Automotive Ltd.,Consumer Cyclical | Recreational Vehicles | Israel,-,358500000.0,-515700000.0,0.0,1.0,0.73,-,,270.0,Yes,Yes,2.5,-,-,-,-,1.09,1.5,-,-,11.9,0.0,0.0,-11.85,-1.66,-0.4,-0.11,-636.1,15.6,-,,,,-140.0,Aug 16 e9e6O,-12.04,20.82,0.0,25.2,9.78,,,,,,,,-56.94,238440000.0,191680000.0,0.58,0.91,4.08,1.05 - 7.49,-85.45,3.81,41.65,0.49,1220000.0,597194.0,-6.84,-11.38,-26.35,-52.19,-80.15,-80.36,-,0.1,5.21 9.34,1.11,1.09,-1.8
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare | Biotechnology | USA,S&P 500,65480000000.0,5690000000.0,14230000000.0,191.73,67.1,-,,10368.0,Yes,Yes,2.4,11.6,13.43,-,4.6,3.03,8.65,8.32,4.4,5.1,0.13,0.13,-5.68,50.07,43.24,9.5,135.8,5.86,-,56.4,27.0,-44.4,-73.3,Aug 03 e9e6O,-3.93,1.0,-11.47,89.8,1.62,22.2,29.7,35.8,85.0,48.2,40.0,0.0,-8.3,107900000.0,104420000.0,2.81,4.76,681.68,538.01 - 747.42,-22.32,7.92,40.04,0.75,616170.0,461218.0,-2.61,-5.58,-7.89,-6.41,-14.08,-8.06,0.29,17.04,3.15 2.48,600.63,580.62,-3.33
RGEN,Repligen Corporation,Healthcare | Medical Instruments & Supplies | USA,-,11860000000.0,159400000.0,778800000.0,32.56,10.58,-,,1852.0,Yes,Yes,1.7,75.91,59.3,2.17,15.23,6.46,19.89,261.88,1.7,2.3,0.16,0.0,-11.42,2.77,3.55,0.68,101.5,10.81,,45.6,45.0,27.4,37.8,Aug 02 e9e6O,2.17,0.7,-12.89,92.2,3.39,6.8,9.1,7.1,58.1,26.4,20.5,0.0,6.67,55440000.0,51760000.0,5.47,5.33,266.56,137.21 - 327.32,-35.74,53.3,41.04,0.62,530610.0,330941.0,-7.4,-13.55,27.33,17.64,-27.1,-20.58,1.06,9.6,4.17 3.92,213.78,210.34,-1.61
RIOT,"Riot Blockchain, Inc.",Technology | Software - Application | USA,-,1060000000.0,-365500000.0,308400000.0,9.88,2.5,-,,335.0,Yes,Yes,1.9,-,8.15,-,3.43,0.67,2.65,-,4.9,4.9,0.0,0.0,-17.12,-2.85,0.81,-0.01,71.9,60.4,,35.8,366.3,112.5,373.2,-,-2.3,0.4,-1.92,35.3,23.43,-26.7,-30.4,-1.7,49.8,,,,-54.86,130410000.0,123900000.0,21.18,1.66,14.38,4.02 - 46.28,-85.67,64.93,41.54,0.7,15810000.0,11067666.0,-2.36,-18.95,6.76,-55.56,-81.56,-70.31,4.58,0.69,8.14 8.43,6.85,6.63,-3.21
RJF,"Raymond James Financial, Inc.",Financial | Capital Markets | USA,S&P 500,22570000000.0,1500000000.0,11040000000.0,44.59,27.33,1.36,1.31,15000.0,Yes,Yes,1.9,14.73,11.05,1.73,2.04,2.32,3.79,2.57,-,-,5.72,0.36,-3.11,7.03,9.36,2.05,71.0,27.96,,22.2,12.4,10.6,-4.4,Jul 27 Ae6C,5.03,0.1,-2.68,76.8,-1.79,2.1,17.2,3.2,96.0,17.8,13.6,16.6,2.56,210700000.0,194230000.0,1.42,2.62,118.71,84.86 - 117.37,-11.82,21.97,48.42,0.57,1060000.0,600565.0,-3.07,3.16,7.85,3.61,10.81,3.09,1.06,2.18,2.16 1.75,104.56,103.5,-1.01
RMBS,Rambus Inc.,Technology | Semiconductors | USA,-,2720000000.0,-21400000.0,393200000.0,7.59,3.2,-,,690.0,Yes,Yes,2.2,-,14.55,-,6.91,3.25,7.72,13.42,3.5,3.6,0.06,0.0,-8.3,-0.21,1.7,0.41,144.7,3.54,,21.5,-0.5,42.6,219.8,Aug 01 Ae6C,0.76,0.5,-25.21,90.3,2.11,-1.9,-2.6,1.9,78.8,-4.4,-5.4,,-5.73,110450000.0,108740000.0,3.08,4.71,33.2,20.00 - 33.75,-26.87,23.4,40.31,0.52,712140.0,373044.0,-6.27,-8.83,-2.72,-12.14,1.11,-16.03,1.2,0.88,3.11 3.00,24.57,24.68,0.45
RNG,"RingCentral, Inc.",Technology | Software - Application | USA,-,4080000000.0,-575600000.0,1820000000.0,-0.4,3.21,-,,3919.0,Yes,Yes,1.9,-,17.28,-,2.25,-,13.32,23.97,1.2,1.2,-,-,-8.78,-6.14,2.48,0.51,-338.2,28.11,,147.82,33.2,28.4,-37.8,Aug 02 Ae6C,-16.26,1.1,-3.26,98.06,5.35,-23.9,-582.4,-17.5,69.2,-21.8,-31.7,,-62.09,95130000.0,84540000.0,8.6,3.24,97.88,40.59 - 315.00,-86.42,5.4,40.2,0.74,2240000.0,1656057.0,0.85,-12.69,-32.67,-62.58,-83.26,-77.17,0.98,2.91,4.71 5.57,42.7,42.78,0.19
ROCC,Ranger Oil Corporation,Energy | Oil & Gas E&P | USA,-,1590000000.0,112000000.0,937200000.0,17.64,0.85,0.3,0.76,136.0,Yes,Yes,2.0,7.06,2.93,0.24,1.7,2.24,46.22,5.35,0.6,0.6,1.54,1.53,4.89,5.58,13.44,3.34,111.5,11.69,,-49.2,34.4,152.2,,-,12.72,0.5,0.0,89.6,1.16,6.9,38.0,29.0,84.6,57.3,11.9,0.0,16.24,20890000.0,19720000.0,8.48,2.99,59.6,19.06 - 53.59,-26.42,106.87,54.84,0.56,558890.0,311134.0,-2.98,18.41,-18.2,7.21,94.24,46.47,2.76,2.51,6.69 5.99,37.64,39.43,4.76
ROKU,"Roku, Inc.",Communication Services | Entertainment | USA,-,9420000000.0,-46000000.0,3040000000.0,20.43,14.36,-,,3000.0,Yes,Yes,2.2,-,-,-,3.1,3.23,4.59,-,3.5,3.6,0.03,0.0,-12.56,-0.36,-2.7,-1.27,-190.6,67.1,,42.1,47.3,18.5,-258.8,Jul 28 Ae6C,-19.73,0.2,-5.58,73.7,-0.93,-1.1,-1.7,8.4,48.1,-1.4,-1.5,,-49.21,136850000.0,120340000.0,8.83,1.07,82.3,62.00 - 371.39,-82.23,6.44,37.01,0.81,9940000.0,8058566.0,-3.41,-18.81,-24.39,-45.69,-80.95,-71.08,1.68,5.39,5.96 6.21,68.3,65.99,-3.38
ROP,"Roper Technologies, Inc.",Industrials | Specialty Industrial Machinery | USA,S&P 500,42950000000.0,921100000.0,5570000000.0,129.62,26.87,2.48,0.62,19300.0,Yes,Yes,2.3,46.47,27.24,5.08,7.72,3.09,14.92,37.05,1.5,1.6,0.54,0.48,-5.63,8.63,14.72,3.46,18.1,8.11,,7.5,8.8,10.2,9.7,Jul 22 e9e6O,-3.2,0.3,-0.16,99.4,0.95,11.6,22.8,6.1,68.7,25.9,51.5,8.7,-9.41,105900000.0,105210000.0,1.23,2.52,491.0,369.51 - 505.00,-20.61,8.5,35.32,0.57,511720.0,292925.0,-2.17,-6.95,-7.21,-11.8,-17.55,-18.49,1.04,8.48,2.17 1.80,405.15,400.92,-1.04
ROST,"Ross Stores, Inc.",Consumer Cyclical | Apparel Retail | USA,S&P 500,30970000000.0,1470000000.0,18510000000.0,11.68,11.33,1.24,1.42,100000.0,Yes,Yes,2.3,20.73,18.69,5.46,1.67,7.48,7.71,39.92,1.2,1.9,0.61,0.61,-1.25,4.21,4.68,0.8,-9.2,16.67,,11.5,8.0,-4.1,-27.6,Aug 18 Ae6C,6.36,0.4,-0.07,91.7,1.73,12.7,43.1,27.6,26.0,12.6,9.3,23.3,-6.37,347050000.0,345870000.0,2.29,2.7,97.9,69.24 - 123.36,-29.16,26.21,52.03,0.71,2940000.0,2085060.0,0.15,4.33,5.65,-2.29,-25.28,-23.53,0.99,2.77,2.71 2.98,88.51,87.39,-1.27
RPAY,Repay Holdings Corporation,Technology | Software - Infrastructure | USA,-,934640000.0,-8400000.0,258300000.0,10.06,0.61,-,,552.0,Yes,Yes,1.8,-,9.86,-,3.62,0.93,15.47,15.63,1.5,1.5,0.0,0.5,-10.38,-0.13,0.95,0.22,70.3,16.93,,,,39.3,100.1,Aug 09 Ae6C,-22.82,5.0,5.43,92.2,-0.03,-0.5,-0.9,-2.2,75.4,-21.8,-3.2,,-35.89,88900000.0,85840000.0,5.41,7.02,15.7,8.90 - 24.53,-61.68,5.62,34.83,0.97,661580.0,640238.0,-6.09,-31.24,-27.02,-40.28,-60.12,-48.55,0.77,0.62,4.45 6.23,9.42,9.4,-0.21
RPD,"Rapid7, Inc.",Technology | Software - Application | USA,-,3170000000.0,-166900000.0,616400000.0,-2.54,4.05,-,,2353.0,Yes,Yes,2.0,-,112.13,-,5.15,-,13.24,111.75,0.9,0.9,-,-,-15.86,-2.92,0.48,0.05,-36.7,368.63,-,-17.4,27.7,32.5,-10.3,Aug 03 Ae6C,-20.19,1.7,-4.82,,1.77,-13.1,129.5,-19.0,67.7,-24.3,-27.1,,-41.03,58240000.0,57760000.0,7.88,7.18,86.25,53.40 - 145.00,-63.03,0.37,26.12,1.46,633610.0,927061.0,-12.07,-20.52,-25.51,-48.36,-56.51,-54.46,1.3,3.02,5.44 4.06,54.07,53.6,-0.87
RPRX,Royalty Pharma plc,Healthcare | Biotechnology | USA,-,25490000000.0,466100000.0,2260000000.0,13.81,5.61,0.76,1.81,66.0,Yes,Yes,2.0,39.21,11.91,3.39,11.28,3.05,7.49,254851.64,19.2,19.2,1.18,1.18,-3.0,1.07,3.53,0.72,13.3,16.84,,,,-3.4,-35.2,Aug 04 e9e6O,-2.38,0.2,-47.74,67.6,5.24,2.6,8.0,11.1,,46.6,20.6,67.1,3.26,436320000.0,323440000.0,3.76,6.23,54.34,34.86 - 44.75,-5.99,20.68,39.28,0.7,1950000.0,1370776.0,-2.28,-1.04,3.83,9.5,7.02,5.57,-,0.81,2.02 1.77,41.97,42.07,0.24
RPTX,Repare Therapeutics Inc.,Healthcare | Biotechnology | Canada,-,526300000.0,-132000000.0,8200000.0,5.38,6.57,-,,163.0,Yes,Yes,2.0,-,-,-,64.18,2.33,1.91,-,7.3,7.3,0.0,0.0,2.57,-3.27,-3.1,-0.89,-95.3,0.3,-,,,133.3,-28.0,Aug 04 Ae6C,-5.1,0.2,185.35,90.2,-5.2,-40.3,-53.3,-37.1,,,,,-14.99,41900000.0,37250000.0,4.1,1.8,30.5,8.06 - 34.98,-64.15,55.49,51.11,0.18,849670.0,156980.0,4.15,-4.49,-4.49,-13.04,-63.7,-40.54,-,0.87,7.44 7.92,12.55,12.54,-0.08
RSG,"Republic Services, Inc.",Industrials | Waste Management | USA,S&P 500,45480000000.0,1390000000.0,12270000000.0,29.12,0.37,1.98,1.39,35000.0,Yes,Yes,2.1,32.73,26.7,2.86,3.71,4.9,380.94,48.4,0.7,0.7,1.29,1.26,-1.48,4.36,5.35,1.22,33.6,12.02,,17.8,3.8,21.4,13.4,Aug 04 Ae6C,4.24,0.11,-7.69,96.0,0.32,5.4,15.4,9.7,39.9,18.1,11.3,41.3,7.94,316500000.0,315100000.0,0.48,1.5,156.86,113.57 - 148.26,-3.69,25.72,51.27,0.73,1010000.0,735746.0,-1.31,0.88,6.23,9.86,13.24,2.4,0.71,2.35,1.71 1.59,143.97,142.79,-0.82
